line_number,confidence,issue_count,first_issue_line,computed_from_answer,written_in_answer,difference,question,answer
695,medium,1,2 kısa kenar + 2 uzun kenar = 640 fit,4.0,640.0,636.0,"Özel mülkiyete ait dikdörtgen bir arsanın etrafı zincirli bir çitle çevrilmiştir. Arsanın uzun kenarları kısa kenarlarının üç katı uzunluğundadır. Çitin kısa kenarlarından biri bir fıskiyenin çarpması sonucu paslanmıştır ve değiştirilmesi gerekmektedir. Çitin tüm kenarları birlikte 640 fit uzunluğundaysa, çitin kaç fitinin değiştirilmesi gerekir?","Dikdörtgen arsanın kısa kenar uzunluğunu \( x \) olarak varsayalım. Uzun kenarlar ise \( 3x \) uzunluğundadır. Çitin toplam uzunluğu tüm kenarların toplamına eşittir:

2 kısa kenar + 2 uzun kenar = 640 fit

\[ 2x + 2(3x) = 640 \]

\[ 2x + 6x = 640 \]

\[ 8x = 640 \]

\[ x = 80 \]

Bu durumda kısa kenarlardan biri \( 80 \) fit uzunluğundadır. Dolayısıyla değiştirilmesi gereken çit uzunluğu \( 80 \) fittir."
732,low,1,"\[ (2000 \, \text{USD} + 800 \, \text{USD}) \cdot 2 = 2800 \, \text{USD} \]",5600.0,2800.0,2800.0,"Bir serbest çalışan olarak Baylor, serbest çalışan bir pazarda yaptığı her bitmiş müşteri işi için ödeme alıyor. Şu anda, daha önce yaptığı işlerden dolayı gösterge tablosunda 4000 $ var. Şu anda üç müşteri için çalışıyor ve ilk müşteri, iş bittiğinde şu anda panosunda bulunan para miktarının yarısını ödüyor. İkinci müşteri, Baylor işini bitirdiğinde ona ilk müşteriden 2/5 kat daha fazla para ödeyecek. Üçüncü müşteri, Baylor işi bitirdiğinde ona birinci ve ikinci müşterinin birlikte ödediği paranın iki katını ödeyecek. Tüm müşteriler ona işi için ödeme yaptıktan sonra Baylor'un gösterge tablosunda ne kadar para olacaktır?","Şu anda Baylor'un gösterge tablosunda 4000 $ var. Şimdi, her bir müşteri tarafından ödenen miktarları hesaplayalım:

- İlk müşteri, Baylor'a şu anda panosunda bulunan miktarın yarısını ödeyecek:
  \[ 4000 \, \text{USD} \div 2 = 2000 \, \text{USD} \]

- İkinci müşteri, Baylor'a ilk müşteriden aldığı paranın 2/5 katını ödeyecek:
  \[ 2000 \, \text{USD} \cdot \frac{2}{5} = 800 \, \text{USD} \]

- Üçüncü müşteri, Baylor'a birinci ve ikinci müşterinin birlikte ödediği paranın iki katını ödeyecek:
  \[ (2000 \, \text{USD} + 800 \, \text{USD}) \cdot 2 = 2800 \, \text{USD} \]

Şimdi bu ödemeleri toplarsak:
  \[ 4000 \, \text{USD} + 2000 \, \text{USD} + 800 \, \text{USD} + 2800 \, \text{USD} = 9600 \, \text{USD} \]

Sonuçta, tüm müşteriler ona işi için ödeme yaptıktan sonra Baylor'un gösterge tablosunda 9600 $ olacaktır."
793,low,2,\[ \frac{3}{5} \cdot 150 - 4 + Vlad'ın\ puanları = 150 \],86.0,150.0,64.0,"Taro ve Vlad birlikte bir video oyunu yarışması oynarlar ve her galibiyet için 5 puan kazanırlar. 30 tur oynadıktan sonra Taro, toplam puanların 3/5'inden 4 puan daha az puan aldı. Vlad toplam kaç puan kazanmıştır?","Toplam tur sayısı 30 olduğuna göre, her galibiyet 5 puan kazandırır. Taro'nun aldığı puanları belirleyelim.

Taro'nun puanları toplamın 3/5'inden 4 puan daha azdır:
\[ Taro'nun\ puanları\ = \frac{3}{5} \cdot Toplam\ puanlar - 4 \]

O zamanda,
\[ Toplam\ puanlar = Taro'nun\ puanları + Vlad'ın\ puanları \]
olduğu için,
\[ Taro'nun\ puanları + Vlad'ın\ puanları = 30 \times 5 \]
\[ Taro'nun\ puanları + Vlad'ın\ puanları = 150 \]

Eşitlikte yerine koyarsak,
\[ \frac{3}{5} \cdot 150 - 4 + Vlad'ın\ puanları = 150 \]
\[ 90 - 4 + Vlad'ın\ puanları = 150 \]
\[ 86 + Vlad'ın\ puanları = 150 \]
\[ Vlad'ın\ puanları = 150 - 86 \]
\[ Vlad'ın\ puanları = 64 \]

Bu durumda Vlad toplam 64 puan kazanmıştır."
832,medium,1,42$ - 48$ = 6$ tasarruf edersiniz.,-6.0,6.0,12.0,"Bir düzine çörek alırsanız 8$'a mal olur; ancak 2 düzine alırsanız 14$'a mal olur. 2 düzinelik 3 set satın aldığınızda, 1 düzinelik 6 set satın almaktan ne kadar tasarruf edersiniz?","2 düzine çörek fiyatı 14$.

2 düzinelik 3 set alırsanız:
3 x 14$ = 42$ ödersiniz.

1 düzine çörek fiyatı 8$.

1 düzinelik 6 set alırsanız:
6 x 8$ = 48$ ödersiniz.

42$ - 48$ = 6$ tasarruf edersiniz."
879,low,1,"Toplam maliyet = 50 $ + 6,5062114 $ = 56,51 $",56.5062114,56.51,0.003788600000000031,"Tom odası için yeni bir zemin yaptırmaya karar verir.  Zemini sökmek 50 dolara mal olmuştur.  Yeni zeminin metrekare fiyatı 1,25 $ ve Tom'un odası 8*7 feet.  Zemini değiştirmek ne kadara mal oldu?","Tom'un odası 8*7 feet, bu da toplam 56 square feet eder. Metrekareye çevirmek için 0,09290304 ile çarpmamız gerekir:

56 square feet * 0,09290304 = 5,20496912 metrekare

Yeni zeminin metrekare fiyatı 1,25 $:

5,20496912 metrekare * 1,25 $/metrekare = 6,5062114 $

Zemin sökme maliyeti 50 $:

Toplam maliyet = 50 $ + 6,5062114 $ = 56,51 $

Zemini değiştirmek Tom'a yaklaşık 56,51 dolara mal olmuştur."
1055,medium,1,72 ons \times 0.75 ons = 9 ons çay,54.0,9.0,45.0,Artemis bir parti için çay yapıyor. Annesinin 8 onsluk bir fincan çay içtiğini ve bir ons çay kullandığını biliyor. Parti için de aynı oranı kullanacaktır. Partide 12 kişi var ve her biri 6 onsluk bir fincan çay istiyor. Kaç ons çaya ihtiyacı var?,"Her 8 ons çay için 1 ons çay kullanılıyorsa, 6 ons çay için \( \frac{6}{8} = 0.75 \) ons çay kullanılır.

Partide 12 kişi olduğuna göre, toplam çay miktarını bulalım:
12 kişi \times 6 ons = 72 ons çay

72 ons çay için gerekli çay miktarını hesaplamak için:
72 ons \times 0.75 ons = 9 ons çay

Artemis, 12 kişinin ihtiyacını karşılamak için 9 ons çaya ihtiyaç duyacak."
1396,medium,1,Toplanan toplam para: 950 dolar × 4 = 3800 dolar + 1900 dolar = 5700 dolar,3800.0,5700.0,1900.0,"6 öğrenciden oluşan bir grup, yazın Nikaragua'ya gitmek için bir bağış kampanyası düzenledi. Geziye gidebilmeleri için her birinin en az 450 dolara ihtiyacı var. Bunun da ötesinde, çeşitli toplu harcamaları için 3000 dolara ihtiyaçları var. Bağış toplama etkinliklerinin ilk gününde 600 dolar alıyorlar. İkinci gün 900 dolar ve üçüncü gün 400 dolar alırlar. Sonraki 4 gün boyunca, ilk 3 günde topladıkları paranın sadece yarısını alıyorlar. Hedeflerine ulaşmaları için her bir kişinin ne kadar daha para toplaması gerekir?","Öğrencilerin ihtiyacı olan toplam para şöyle hesaplanır:
1. Her öğrencinin ihtiyacı: 450 dolar
2. Toplam 6 öğrenci olduğu için: 450 dolar × 6 = 2700 dolar
3. Ekstra toplu harcamalar: 3000 dolar
4. Toplam ihtiyaç: 2700 dolar + 3000 dolar = 5700 dolar

İlk 3 günde toplanan para:
1. Gün: 600 dolar
2. Gün: 900 dolar
3. Gün: 400 dolar
Toplam: 600 dolar + 900 dolar + 400 dolar = 1900 dolar

Sonraki 4 gün boyunca aldıkları para, ilk 3 günde topladıkları paranın yarısıdır:
Toplanan para (ilk 3 günde): 1900 dolar
Sonraki 4 gün boyunca alınan para: 1900 dolar ÷ 2 = 950 dolar
Toplanan toplam para: 950 dolar × 4 = 3800 dolar + 1900 dolar = 5700 dolar

Bu durumda toplam ihtiyaçları olan 5700 doları toplamış oluyorlar. Yani, daha fazla para toplamalarına gerek yok. Her biri hedeflerine ulaşmış durumda."
1399,medium,1,20 yard × 0.9144 = 18.288 metre,18.288,18288.0,18269.712,"Daniel'in bir tekstil şirketi var. Her Pazartesi 20 yarda kumaş teslim ediyor ve her Salı Pazartesi günü teslim ettiği kumaş miktarının iki katını teslim ediyor. Her Çarşamba, Salı günü teslim ettiği kumaş miktarının 1/4'ünü teslim ediyor. Her bir metre kumaşın maliyeti 2 dolar ve her bir metre ipliğin maliyeti 3 dolarsa, pazartesiden çarşambaya ne kadar kazanır?","Her Pazartesi Daniel'in teslim ettiği 20 yarda kumaşı öncelikle metreye çevirelim. 1 yard, yaklaşık 0.9144 metre olduğuna göre:

20 yard × 0.9144 = 18.288 metre

Pazartesi teslim edilen kumaş: 18.288 metre

Her Salı bu miktarın iki katını teslim ediyor:

18.288 metre × 2 = 36.576 metre

Her Çarşamba, Salı günü teslim edilen miktarın 1/4'ünü teslim ediyor:

36.576 metre ÷ 4 = 9.144 metre

Toplam teslim edilen kumaş miktarı:

Pazartesi: 18.288 metre
Salı: 36.576 metre
Çarşamba: 9.144 metre

Toplam: 18.288 + 36.576 + 9.144 = 64.008 metre

Her bir metre kumaşın maliyeti 2 dolar olduğuna göre, toplam maliyet:

64.008 metre × 2 dolar/metre = 128.016 dolar

Daniel'in maliyeti 128.016 dolardır. Kazancı maliyetten çıkarıldığı için her bir parçanın satılmasıyla ilgili veri vermeniz gerekebilir. Çünkü, kar hesaplanabilmesi için satışta elde edilen gelir bilgisi olmalıdır. Ancak, sadece kumaş maliyetini sordunuz ve bu da 128.016 dolardır."
1452,medium,1,250 mil * 1 dolar/mil + 100 dolar (haftalık ücret) = 350 dolar.,2.5,350.0,347.5,"Tom bir araba kiralamaya karar verir.  Pazartesi, Çarşamba ve Cuma günleri 50 mil, Pazar günü ise 100 mil yol yapar.  Sürdüğü her mil başına 1 dolar ödemek zorundadır.  Ayrıca haftalık 100$ ücret ödemesi gerekiyor.  Bir yıl içinde ne kadar ödemesi gerekiyor?","Tom bir haftada 3 gün 50 mil ve 1 gün 100 mil yol yapar. Bu toplamda haftada (3 * 50) + 100 = 250 mil eder. Haftalık maliyet:

250 mil * 1 dolar/mil + 100 dolar (haftalık ücret) = 350 dolar.

Tom bir yılda 52 hafta var, dolayısıyla yıllık maliyet:

52 hafta * 350 dolar/hafta = 18,200 dolar.

Tom, bir yıl içinde toplam 18,200 dolar ödemesi gerekiyor."
1480,low,2,10 + 12 * 5 - Hediyenin maliyeti = 15,70.0,15.0,55.0,"Samanta arkadaşı Marta için bir parti planlamaktadır. Marta'ya bir hediye almak için davet ettiği konuklar arasında biraz para toplamaya karar verdi. Her katılımcı bu amaçla Samanta'ya 5 dolar verdi ve kendisi de 10 dolar koydu. Hediyenin maliyeti beklenenden düşüktü, bu nedenle 15 dolar kalmıştı. Davetli sayısı 12 olsaydı, hediyenin fiyatı ne olurdu?","Eğer toplam 15 dolar artmışsa ve bu, Samanta'nın koyduğu 10 dolarla birlikte, katılımcıların sayısına ve verdikleri paraya eklenirse:

Samanta'nın koyduğu miktar + Katılımcıların koyduğu miktar - Hediyenin maliyeti = 15

10 + 12 * 5 - Hediyenin maliyeti = 15

10 + 60 - Hediyenin maliyeti = 15

70 - Hediyenin maliyeti = 15

Hediyenin maliyeti = 70 - 15

Hediyenin maliyeti = 55 dolar."
1634,low,1,2060 / 15 = 137.33,137.33333333333334,137.33,0.0033333333333303017,"Madeline'in kira ödemek için 1200 dolara, market alışverişi için 400 dolara, sağlık harcamaları için 200 dolara ve kamu hizmetleri için 60 dolara ihtiyacı var. Ayrıca acil bir durum için 200 dolar biriktirmek istiyor. İşinde saat başına 15 dolar kazanıyor. Madeline'in bu ay kaç saat çalışması gerekecek?","Madeline'in toplam ihtiyacı 2060 dolar. Saatte 15 dolar kazanıyorsa, bu miktarı kazanmak için 2060'ı 15'e bölmemiz gerekir.

2060 / 15 = 137.33

Madeline'in bu ay en az 138 saat çalışması gerekecek."
1675,low,1,\( 73.152 \text{ metre} - 50 \text{ metre} = 23.152 \text{ metre}\),73102.0,23152.0,49950.0,"Rodney ve Todd, bir ucu 50 metre genişliğinde olan bir nehirde kürek çekmektedir. Nehrin genişliği bu uçtan itibaren her 10 metrede bir 2 yarda artıyorsa ve nehir boyunca 5 m/s hızla kürek çekiyorlarsa, nehrin 80 yarda genişliğinde olduğu noktaya ulaşmaları (saniye cinsinden) ne kadar sürer?","Öncelikle, nehrin genişliği 50 metreden 80 yardaya nasıl arttığını anlamamız gerekiyor. 1 yarda yaklaşık olarak 0.9144 metredir. Bu durumda, 80 yarda yaklaşık olarak 73.152 metreye eşittir.

Nehirin genişliği her 10 metrede bir 2 yarda (yaklaşık 1.8288 metre) artıyor. Genişliğin 50 metreden 73.152 metreye kadar artması için gereken mesafeyi bulmak gerekiyor.

Artışın toplamı:
\( 73.152 \text{ metre} - 50 \text{ metre} = 23.152 \text{ metre}\)

Bu artış her 10 metrede 1.8288 metre olduğundan dolayı, artışın gerçekleşmesi için gereken toplam mesafe:
\( \frac{23.152 \text{ metre}}{1.8288 \text{ metre}} \times 10 \text{ metre} \approx 126.585 \text{ metre} \)

Bu mesafeyi 5 m/s hızla kürek çektiklerine göre, süre:
\( \frac{126.585 \text{ metre}}{5 \text{ m/s}} \approx 25.317 \text{ saniye} \)

Rodney ve Todd'un nehrin 80 yarda genişliğinde olduğu noktaya ulaşmaları yaklaşık 25.32 saniye sürer."
1699,medium,1,"Dolayısıyla, 2 * 38 = 4 * Mikey'nin jelibon sayısı",76.0,4.0,72.0,"Napolyon'un 17 jelibonu vardır ve Sedrich'in Napolyon'dan 4 jelibonu daha fazladır. Napolyon ve Sedrich'in jelibonlarının toplamının iki katı Mikey'nin jelibon sayısının 4 katı ise, Mikey'nin kaç jelibonu vardır?","Napolyon'un 17 jelibonu var ve Sedrich'in Napolyon'dan 4 fazla jelibonu var, bu da Sedrich'in 21 jelibonu olduğu anlamına gelir. Toplamda, Napolyon ve Sedrich'in 17 + 21 = 38 jelibonu var. Bu toplamın iki katı, Mikey'nin jelibon sayısının 4 katı olarak verilmiştir. Dolayısıyla, 2 * 38 = 4 * Mikey'nin jelibon sayısı. Bu denklemi çözersek, Mikey'nin jelibon sayısı 19 olur."
1700,low,2,37 / 10 = 3 kırmızı bilet ve kalan 7 mavi bilet,3.7,3.0,0.7000000000000002,"Tom Sawyer'ın Pazar okulunda yepyeni bir İncil kazanmak için bir öğrencinin 10 sarı bilet kazanması gerekir; her sarı bilet 10 kırmızı biletle takas edilerek elde edilir; her kırmızı bilet 10 mavi biletle takas edilerek elde edilir; ve mavi biletler iki İncil ayeti ezberleyerek kazanılır. Ancak Tom Sawyer bu kadar zahmete girmek yerine, 8 sarı, 3 kırmızı ve 7 mavi bilet toplayana kadar çeşitli oyuncaklarını ve hazinelerini arkadaşlarıyla takas etmiştir. Yeni bir Kutsal Kitap kazanmak için daha kaç mavi bilet kazanması gerekir?","Yeni bir İncil kazanmak için Tom Sawyer'ın 10 sarı bilete ihtiyacı var. Tom'un hali hazırda sahip olduğu biletler:
- 8 sarı bilet
- 3 kırmızı bilet
- 7 mavi bilet

1 sarı bilet için 10 kırmızı bilet, 1 kırmızı bilet için 10 mavi bilet gerekiyor. Öncelikle Tom'un elindeki biletlerin toplamını sarı bilet cinsinden hesaplayalım.

1 kırmızı bilet 10 mavi bilete eşit olduğuna göre:
3 kırmızı bilet = 3 x 10 = 30 mavi bilet

Toplam mavi bilet sayısı:
30 (kırmızı biletten) + 7 (elinde var) = 37 mavi bilet

Kırmızı bilete çevrildiğinde:
37 / 10 = 3 kırmızı bilet ve kalan 7 mavi bilet

Elindeki toplam kırmızı bilet sayısı:
3 (kırmızı bilet) + 3 (yeni çevirdiği) = 6 kırmızı bilet

Geçerli sarı bilet:
6 kırmızı bilet / 10 = 0 sarı bilet ve kalan 6 kırmızı bilet

Toplam sarı bilet sayısı:
8 (elinde var) + 0 (yeniden kazandığı) = 8 sarı bilet

Yeni bir İncil kazanmak için 2 sarı bilete daha ihtiyacı var. Bu da şu anlama geliyor:
2 sarı bilet = 2 x 10 kırmızı bilet = 20 kırmızı bilet
20 kırmızı bilet = 20 x 10 mavi bilet = 200 mavi bilet daha gerekiyor.

Sonuç olarak, Tom Sawyer'ın yeni bir İncil kazanabilmesi için 200 mavi bilet daha getirmesi gerekiyor."
1769,medium,1,"Jon, Karen'ın maaşının 3/4'ünü aldığına göre, Karen'ın aylık maaşı = 3000 / (3/4) = 3000 * (4/3) = 4000 dolar",0.75,4000.0,3999.25,"Jon, Karen'ın aldığı maaşın 3/4'ünü alıyor. John ayda 3000 dolar kazanıyor. Karen'ın 3 ayda kazandığı parayı kazanması ne kadar sürer?","Karen'ın aylık maaşını hesaplayalım:

Jon'un maaşı = 3000 dolar
Jon, Karen'ın maaşının 3/4'ünü aldığına göre, Karen'ın aylık maaşı = 3000 / (3/4) = 3000 * (4/3) = 4000 dolar

Karen 3 ayda kazanır:
3 * 4000 = 12000 dolar

Jon'un 12000 doları kazanması için gereken süre:
12000 / 3000 = 4 ay

Jon'un, Karen'ın 3 ayda kazandığı parayı kazanması 4 ay sürer."
1807,medium,1,4 kitap * 2.50 dolar/kitap + 6 kitap * 2 dolar/kitap = 10 dolar + 12 dolar = 22 dolar,3.3333333333333335,22.0,18.666666666666668,"Okulda her yıl öğrencilerin eski kitaplarını daha ucuza satabilecekleri bir kitap satışı düzenlenir. Lovely'nin kitaplarının beşte ikisi tanesi 2,50 dolardan, geri kalanı ise tanesi 2 dolardan satılabilir. Eğer 10 kitabın tamamı satılırsa Lovely ne kadar kazanacaktır?","Lovely 10 kitabın tamamını satarsa, toplamda 21 dolar kazanacaktır.

Her biri 2.50 dolardan satılan kitapların sayısı: 10 kitabın beşte ikisi = 4 kitap
Her biri 2 dolardan satılan kitapların sayısı: 10 kitabın geri kalanı = 6 kitap

Toplam kazanç:
4 kitap * 2.50 dolar/kitap + 6 kitap * 2 dolar/kitap = 10 dolar + 12 dolar = 22 dolar"
